                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72334,                0.52707,                 1.0008,                0.90769,                0.93511,                0.96309,                0.80371,                0.68858,                0.46854,                0.98137,               0.006535,               0.006535,               0.006535
                     37,                0.72522,                0.52961,                 1.0062,                0.91568,                0.91328,                0.95437,                0.79194,                0.70144,                0.48244,                0.99355,               0.006436,               0.006436,               0.006436
                     38,                0.72983,                0.52066,                 1.0067,                0.92526,                0.91883,                0.96106,                0.80331,                0.68609,                0.46584,                0.98249,               0.006337,               0.006337,               0.006337
                     39,                0.72001,                0.52048,                  1.004,                0.91872,                0.93154,                0.96495,                0.80571,                 0.6872,                0.45091,                0.98045,               0.006238,               0.006238,               0.006238
                     40,                0.72028,                0.51381,                 1.0034,                0.90735,                0.93497,                0.96014,                0.79952,                0.68677,                0.46214,                0.98421,               0.006139,               0.006139,               0.006139
                     41,                0.71153,                0.50772,                0.99915,                0.93024,                0.92218,                0.96294,                0.80023,                0.69526,                 0.4489,                0.98669,                0.00604,                0.00604,                0.00604
                     42,                0.70446,                0.50824,                0.99577,                0.92405,                0.93313,                0.96504,                0.80747,                0.68384,                0.45315,                0.97581,               0.005941,               0.005941,               0.005941
                     43,                0.69971,                0.50483,                 0.9899,                0.91064,                0.93303,                0.95992,                0.80356,                 0.6853,                0.47007,                0.97924,               0.005842,               0.005842,               0.005842
                     44,                0.69157,                0.49543,                 0.9888,                0.90767,                0.92768,                0.95967,                0.80998,                0.66571,                0.46675,                0.96492,               0.005743,               0.005743,               0.005743
                     45,                0.68628,                0.49014,                0.98287,                0.92089,                0.93124,                0.96179,                0.81038,                0.66843,                 0.4478,                0.97366,               0.005644,               0.005644,               0.005644
                     46,                0.68266,                0.48733,                0.98444,                0.91114,                0.94174,                0.95871,                0.80447,                0.67625,                0.45126,                0.97644,               0.005545,               0.005545,               0.005545
                     47,                0.69155,                0.49213,                0.98963,                0.92428,                0.93448,                0.96507,                0.81061,                0.68516,                0.44329,                 0.9836,               0.005446,               0.005446,               0.005446
                     48,                0.67569,                 0.4811,                0.97768,                0.92344,                0.92887,                0.96231,                0.81214,                 0.6702,                0.44215,                0.97585,               0.005347,               0.005347,               0.005347
                     49,                0.67644,                0.47755,                  0.986,                 0.9296,                0.92491,                0.96182,                0.81285,                 0.6684,                0.43563,                0.96812,               0.005248,               0.005248,               0.005248
                     50,                0.66936,                0.46707,                0.97701,                 0.9269,                0.91606,                0.96218,                0.81632,                0.67812,                0.45104,                0.98045,               0.005149,               0.005149,               0.005149
                     51,                0.66452,                 0.4627,                0.97683,                 0.9137,                0.94091,                0.96209,                0.81372,                 0.6719,                0.43354,                  0.976,                0.00505,                0.00505,                0.00505
                     52,                0.66371,                0.46767,                0.97444,                0.91608,                0.93462,                0.96257,                0.81657,                0.66521,                0.43038,                 0.9713,               0.004951,               0.004951,               0.004951
                     53,                0.65607,                0.46309,                0.97568,                0.92154,                0.94021,                0.96371,                 0.8208,                0.65979,                0.43049,                 0.9704,               0.004852,               0.004852,               0.004852
                     54,                0.65573,                0.45954,                0.96718,                0.93644,                0.90813,                0.96233,                0.81509,                0.66917,                0.44159,                0.98082,               0.004753,               0.004753,               0.004753
                     55,                0.65551,                0.45412,                0.96712,                0.92249,                0.91794,                0.95924,                0.81247,                 0.6714,                0.44798,                0.97619,               0.004654,               0.004654,               0.004654
                     56,                0.65111,                0.44804,                0.97003,                0.92645,                0.92887,                0.95965,                0.81421,                0.65786,                0.44155,                0.96864,               0.004555,               0.004555,               0.004555
                     57,                 0.6512,                 0.4444,                0.96522,                0.90571,                0.93746,                0.96165,                0.82002,                 0.6648,                0.43969,                 0.9734,               0.004456,               0.004456,               0.004456
                     58,                0.64118,                0.44008,                0.96196,                0.92005,                0.93656,                0.96393,                 0.8219,                0.66735,                0.43077,                0.97445,               0.004357,               0.004357,               0.004357
                     59,                0.63836,                0.44681,                0.96725,                 0.9029,                0.95214,                0.96416,                0.82427,                0.65093,                0.42925,                0.96597,               0.004258,               0.004258,               0.004258
                     60,                0.63904,                0.44197,                0.96346,                0.91434,                0.93824,                0.95991,                0.81396,                0.66495,                0.44142,                  0.973,               0.004159,               0.004159,               0.004159
                     61,                0.63585,                0.43702,                0.96136,                0.91854,                 0.9317,                 0.9616,                0.81984,                0.65028,                0.43957,                0.96655,                0.00406,                0.00406,                0.00406
                     62,                 0.6246,                0.42815,                0.95418,                0.91412,                0.93976,                0.96317,                0.81961,                0.66051,                0.43281,                0.97377,               0.003961,               0.003961,               0.003961
                     63,                0.62503,                 0.4219,                0.95982,                0.91458,                0.92742,                0.96136,                0.81503,                0.66785,                0.43696,                0.97857,               0.003862,               0.003862,               0.003862
                     64,                0.61943,                   0.43,                0.96145,                0.90887,                0.94877,                0.96586,                0.82367,                0.65378,                0.42113,                0.97467,               0.003763,               0.003763,               0.003763
                     65,                0.61911,                0.42533,                0.95533,                0.92232,                 0.9147,                0.95819,                0.81489,                0.65634,                0.46459,                 0.9722,               0.003664,               0.003664,               0.003664
                     66,                 0.6096,                0.41308,                0.95196,                0.91935,                0.93368,                 0.9595,                0.81738,                0.65643,                0.43017,                0.97391,               0.003565,               0.003565,               0.003565
                     67,                0.61783,                0.41486,                 0.9559,                0.91126,                0.94071,                0.96012,                0.82449,                0.64704,                0.43828,                0.96377,               0.003466,               0.003466,               0.003466
                     68,                0.60519,                0.41145,                0.94855,                0.91804,                0.94048,                0.96449,                 0.8249,                0.64885,                0.43653,                 0.9679,               0.003367,               0.003367,               0.003367
                     69,                0.61123,                0.41381,                0.95661,                0.92055,                0.94182,                0.96417,                0.82747,                0.64694,                0.43041,                  0.965,               0.003268,               0.003268,               0.003268
                     70,                0.60013,                0.41004,                0.95072,                0.91345,                0.94026,                0.96511,                0.82509,                0.65483,                0.43096,                0.96956,               0.003169,               0.003169,               0.003169
                     71,                 0.5896,                0.39653,                0.94153,                0.91876,                0.93394,                 0.9629,                0.82334,                0.65539,                0.43349,                0.97426,                0.00307,                0.00307,                0.00307
                     72,                0.59916,                0.39531,                0.95045,                0.93035,                0.92141,                0.96197,                0.82115,                0.65426,                0.42718,                0.96902,               0.002971,               0.002971,               0.002971
                     73,                0.59272,                0.39715,                0.94427,                0.92488,                0.93033,                0.95955,                0.82259,                0.65129,                0.43149,                0.97496,               0.002872,               0.002872,               0.002872
                     74,                0.58529,                0.38965,                0.94176,                0.92796,                0.93392,                0.96241,                0.83012,                0.64166,                0.44121,                 0.9667,               0.002773,               0.002773,               0.002773
                     75,                0.57487,                0.38053,                0.94015,                0.92837,                0.93546,                0.96589,                0.82965,                0.63841,                0.41703,                 0.9626,               0.002674,               0.002674,               0.002674
