                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77742,                0.65702,                 1.0079,                0.74119,                0.87452,                0.80231,                0.69639,                0.51987,                0.55441,                0.89499,               0.006535,               0.006535,               0.006535
                     37,                0.78063,                0.64682,                 1.0131,                0.71218,                0.88215,                 0.7999,                0.69977,                0.52361,                0.60891,                0.90267,               0.006436,               0.006436,               0.006436
                     38,                0.77049,                0.64286,                 1.0092,                 0.7269,                0.87878,                0.80492,                0.70499,                0.50118,                 0.5748,                0.88316,               0.006337,               0.006337,               0.006337
                     39,                0.75226,                0.62788,                 1.0015,                0.73664,                0.91402,                  0.834,                0.72262,                0.51972,                0.54405,                0.89169,               0.006238,               0.006238,               0.006238
                     40,                0.75196,                0.61874,                 0.9982,                0.70744,                 0.9094,                0.82405,                0.71461,                0.50682,                0.52743,                0.88436,               0.006139,               0.006139,               0.006139
                     41,                0.74546,                0.60734,                0.99411,                 0.7288,                0.88413,                0.80805,                  0.709,                0.51518,                0.54495,                0.89611,                0.00604,                0.00604,                0.00604
                     42,                0.74932,                0.60759,                0.99868,                0.72726,                0.93041,                0.85059,                0.74002,                0.51142,                0.51892,                0.89293,               0.005941,               0.005941,               0.005941
                     43,                0.73856,                0.60232,                 0.9973,                0.71415,                 0.9269,                  0.812,                0.71585,                0.49673,                  0.516,                0.87623,               0.005842,               0.005842,               0.005842
                     44,                0.75327,                 0.6104,                 1.0017,                0.75705,                0.86901,                0.83564,                0.72604,                0.51982,                 0.5585,                0.89936,               0.005743,               0.005743,               0.005743
                     45,                0.73259,                0.59375,                0.99175,                0.70484,                0.89135,                0.79003,                0.69957,                0.51092,                 0.5343,                0.87815,               0.005644,               0.005644,               0.005644
                     46,                0.72839,                0.60088,                0.99473,                0.73192,                 0.8831,                 0.8052,                0.71291,                0.50526,                0.54293,                0.88408,               0.005545,               0.005545,               0.005545
                     47,                0.72308,                 0.5872,                0.98179,                0.71347,                0.90532,                0.80161,                0.70859,                0.49346,                0.53361,                 0.8714,               0.005446,               0.005446,               0.005446
                     48,                0.72512,                0.58717,                0.98223,                0.72939,                0.88544,                0.82903,                0.72658,                0.51366,                0.56803,                0.87968,               0.005347,               0.005347,               0.005347
                     49,                0.71657,                0.57718,                0.98747,                0.77589,                  0.836,                0.82827,                0.72986,                0.50389,                0.53272,                0.88175,               0.005248,               0.005248,               0.005248
                     50,                0.71253,                0.56981,                0.98157,                0.74312,                0.89661,                0.81507,                0.71898,                0.49302,                0.53094,                0.88293,               0.005149,               0.005149,               0.005149
                     51,                 0.7168,                0.57146,                0.98489,                0.75198,                0.90097,                0.83653,                0.73484,                0.48457,                0.49861,                0.87548,                0.00505,                0.00505,                0.00505
                     52,                0.71324,                0.57777,                0.98132,                 0.7378,                 0.9016,                0.83404,                0.74273,                0.50191,                0.53261,                0.87215,               0.004951,               0.004951,               0.004951
                     53,                0.69672,                0.55974,                0.97335,                0.76959,                0.86855,                0.85276,                0.75516,                0.48126,                0.51252,                0.86833,               0.004852,               0.004852,               0.004852
                     54,                0.70479,                 0.5612,                0.98022,                0.77341,                0.86292,                0.81444,                 0.7183,                0.48534,                0.52721,                0.87171,               0.004753,               0.004753,               0.004753
                     55,                0.69413,                 0.5494,                0.96844,                0.72498,                0.90054,                0.80291,                0.71167,                0.47121,                0.52001,                0.86806,               0.004654,               0.004654,               0.004654
                     56,                0.71088,                0.54518,                0.97754,                0.74022,                0.89835,                0.84957,                0.75198,                 0.4764,                0.51994,                 0.8645,               0.004555,               0.004555,               0.004555
                     57,                 0.6887,                0.53899,                0.97482,                0.74125,                0.90182,                0.82475,                0.73407,                0.47121,                0.49885,                 0.8632,               0.004456,               0.004456,               0.004456
                     58,                0.69066,                0.54369,                0.97262,                0.73309,                0.91086,                0.82955,                0.74083,                0.48713,                0.53309,                0.87111,               0.004357,               0.004357,               0.004357
                     59,                 0.6884,                0.53695,                0.97102,                0.74356,                 0.8628,                0.81778,                0.72961,                0.47147,                0.52377,                0.86948,               0.004258,               0.004258,               0.004258
                     60,                0.68903,                0.53234,                0.97003,                0.75491,                0.86632,                0.83674,                 0.7449,                0.46812,                0.51072,                0.86218,               0.004159,               0.004159,               0.004159
                     61,                0.67713,                0.52094,                0.96632,                0.75096,                0.88053,                0.84201,                0.75644,                0.45386,                0.51546,                 0.8579,                0.00406,                0.00406,                0.00406
                     62,                0.67435,                0.51093,                0.96599,                0.75685,                0.89935,                0.82476,                0.72577,                0.47507,                0.52557,                0.86396,               0.003961,               0.003961,               0.003961
                     63,                0.67206,                0.51611,                0.96437,                0.75339,                0.90668,                0.84047,                0.74421,                0.47907,                0.55466,                0.86011,               0.003862,               0.003862,               0.003862
                     64,                0.66528,                0.50668,                0.96425,                0.73518,                0.87408,                0.80938,                0.72102,                0.49124,                0.53979,                0.87478,               0.003763,               0.003763,               0.003763
                     65,                0.66368,                0.50699,                0.96579,                0.75371,                 0.8904,                0.85406,                0.74162,                0.48441,                0.49608,                0.87913,               0.003664,               0.003664,               0.003664
                     66,                0.66377,                0.50696,                0.96062,                0.73651,                 0.8936,                0.81283,                0.71581,                0.46822,                0.53682,                0.87012,               0.003565,               0.003565,               0.003565
                     67,                 0.6592,                0.50282,                0.95354,                0.73508,                0.90774,                0.81093,                0.71558,                0.47507,                 0.5103,                0.87007,               0.003466,               0.003466,               0.003466
                     68,                0.65339,                0.50085,                0.95586,                0.76521,                0.88017,                0.81703,                 0.7217,                0.48616,                0.52227,                0.86966,               0.003367,               0.003367,               0.003367
                     69,                 0.6589,                0.49644,                0.95536,                0.75096,                0.89808,                0.82485,                0.73554,                0.46901,                 0.5059,                0.86105,               0.003268,               0.003268,               0.003268
                     70,                0.64267,                0.48259,                 0.9492,                0.70015,                0.90938,                0.81195,                0.71852,                0.46647,                0.54201,                 0.8706,               0.003169,               0.003169,               0.003169
                     71,                0.64714,                0.48266,                0.95027,                 0.7456,                0.87745,                0.81558,                  0.729,                0.46849,                0.52907,                0.86527,                0.00307,                0.00307,                0.00307
                     72,                 0.6359,                0.47132,                0.95029,                0.73873,                0.89522,                0.81472,                0.73031,                0.46555,                0.52236,                0.86359,               0.002971,               0.002971,               0.002971
                     73,                0.63628,                0.47519,                0.94936,                0.73947,                0.87723,                0.80669,                 0.7286,                0.45093,                0.54663,                0.85236,               0.002872,               0.002872,               0.002872
                     74,                0.63577,                0.45801,                0.94481,                0.73455,                 0.9055,                0.83572,                0.73278,                0.45621,                0.53182,                0.85583,               0.002773,               0.002773,               0.002773
                     75,                0.62693,                0.46695,                0.94073,                0.79152,                0.83015,                0.85161,                0.74808,                0.45422,                0.52772,                0.85838,               0.002674,               0.002674,               0.002674
                     76,                0.63327,                0.46559,                0.94576,                0.76328,                 0.8572,                0.83944,                0.75847,                0.44713,                0.51135,                0.85294,               0.002575,               0.002575,               0.002575
                     77,                0.61582,                0.45662,                0.93974,                0.78753,                0.85576,                 0.8669,                0.77423,                0.45103,                0.49496,                0.85108,               0.002476,               0.002476,               0.002476
                     78,                0.61207,                0.45166,                0.94091,                0.73694,                0.89739,                0.82746,                0.74159,                0.44775,                0.53958,                0.85308,               0.002377,               0.002377,               0.002377
                     79,                 0.6124,                0.44724,                0.94196,                0.75918,                0.89887,                0.82588,                0.73943,                0.44962,                0.50777,                0.84994,               0.002278,               0.002278,               0.002278
                     80,                0.60834,                0.44916,                0.93683,                0.75337,                0.88208,                0.83947,                0.75229,                0.44895,                0.51805,                0.85766,               0.002179,               0.002179,               0.002179
                     81,                0.61143,                0.44119,                0.94045,                0.75907,                0.88573,                 0.8362,                0.74671,                0.46549,                0.50953,                0.86258,                0.00208,                0.00208,                0.00208
                     82,                0.60749,                0.44502,                 0.9355,                0.75249,                0.89354,                0.81649,                0.73238,                0.45871,                0.52555,                0.86118,               0.001981,               0.001981,               0.001981
                     83,                 0.5978,                0.43559,                0.93202,                0.74055,                0.91402,                0.81521,                0.73784,                0.44744,                0.53473,                0.84911,               0.001882,               0.001882,               0.001882
                     84,                0.61249,                0.43107,                0.93929,                0.73437,                0.91468,                0.83792,                0.75396,                0.45001,                0.52234,                0.85754,               0.001783,               0.001783,               0.001783
                     85,                0.58663,                0.41939,                0.93215,                0.73935,                0.90701,                0.82229,                 0.7438,                0.44279,                0.51208,                0.84865,               0.001684,               0.001684,               0.001684
                     86,                0.58724,                0.42011,                0.93442,                0.73968,                0.91824,                0.82686,                0.74835,                0.43472,                0.50849,                0.84688,               0.001585,               0.001585,               0.001585
                     87,                0.59095,                0.41918,                0.93116,                0.73687,                0.91015,                0.81211,                0.73916,                0.44111,                0.52995,                 0.8472,               0.001486,               0.001486,               0.001486
                     88,                0.58977,                 0.4182,                0.93282,                0.73469,                0.92619,                 0.8027,                0.72744,                0.43816,                0.52216,                0.84569,               0.001387,               0.001387,               0.001387
                     89,                0.58215,                0.41846,                0.93699,                 0.7406,                0.91302,                0.80609,                0.72782,                0.43836,                  0.526,                0.85019,               0.001288,               0.001288,               0.001288
