                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.695,                0.65424,                 1.0042,                0.68669,                0.82217,                0.79747,                0.68354,                 0.6274,                0.75196,                0.94173,               0.006535,               0.006535,               0.006535
                     37,                 0.6938,                0.65386,                0.99789,                0.83524,                 0.8823,                0.91135,                0.79047,                0.60799,                0.53451,                0.93438,               0.006436,               0.006436,               0.006436
                     38,                0.69189,                0.63869,                0.99479,                0.84935,                0.89834,                0.92877,                0.80735,                0.61013,                0.50579,                0.93487,               0.006337,               0.006337,               0.006337
                     39,                0.68426,                0.64197,                0.99061,                0.83174,                0.90459,                0.91455,                0.79841,                0.60297,                0.54412,                0.93232,               0.006238,               0.006238,               0.006238
                     40,                0.68678,                0.62829,                0.99046,                0.75021,                0.86425,                0.83889,                0.72261,                0.62182,                0.68132,                0.94535,               0.006139,               0.006139,               0.006139
                     41,                0.67972,                 0.6218,                0.99256,                0.74203,                0.87785,                0.84125,                0.72538,                0.61408,                0.64046,                0.94228,                0.00604,                0.00604,                0.00604
                     42,                0.67602,                0.61426,                0.99104,                0.80038,                0.87887,                0.89453,                0.77684,                0.60072,                 0.5593,                0.93938,               0.005941,               0.005941,               0.005941
                     43,                0.67248,                0.62058,                0.98913,                0.84145,                0.89458,                0.92269,                0.80625,                0.59857,                 0.5322,                0.93207,               0.005842,               0.005842,               0.005842
                     44,                0.66864,                0.60519,                0.99126,                0.82049,                0.89997,                 0.9096,                  0.797,                0.58289,                0.51434,                0.92397,               0.005743,               0.005743,               0.005743
                     45,                0.67034,                0.60309,                0.99025,                0.77606,                0.88252,                0.86835,                0.75121,                0.61576,                0.58673,                0.94863,               0.005644,               0.005644,               0.005644
                     46,                0.66145,                0.59712,                0.98352,                0.83407,                0.88503,                0.91486,                0.79836,                 0.5888,                 0.5283,                0.92929,               0.005545,               0.005545,               0.005545
                     47,                0.66347,                  0.587,                0.98242,                0.81156,                0.90549,                0.90438,                0.79266,                0.59121,                0.56017,                0.92737,               0.005446,               0.005446,               0.005446
                     48,                0.64843,                0.58232,                 0.9784,                0.79716,                0.89894,                0.89153,                0.78011,                0.58493,                0.55368,                0.92719,               0.005347,               0.005347,               0.005347
                     49,                0.64835,                0.57182,                0.97849,                0.74757,                 0.8617,                0.83391,                0.72992,                0.57768,                0.64049,                0.92145,               0.005248,               0.005248,               0.005248
                     50,                0.64722,                0.57947,                0.97798,                0.80068,                0.84705,                0.87566,                0.76664,                0.59302,                0.59894,                0.92817,               0.005149,               0.005149,               0.005149
                     51,                0.64822,                0.57337,                 0.9783,                0.83946,                0.92604,                0.93163,                0.82064,                0.57508,                0.48101,                0.92292,                0.00505,                0.00505,                0.00505
                     52,                0.64036,                 0.5561,                0.97675,                 0.8294,                0.88481,                0.91246,                0.80011,                0.58612,                0.54047,                0.93059,               0.004951,               0.004951,               0.004951
                     53,                0.63073,                0.55683,                 0.9683,                0.83563,                0.90882,                0.91715,                0.80816,                0.57651,                0.50335,                0.91881,               0.004852,               0.004852,               0.004852
                     54,                0.64122,                0.55606,                0.97627,                0.84053,                0.90107,                0.92682,                0.81801,                0.57227,                0.49759,                0.92198,               0.004753,               0.004753,               0.004753
                     55,                0.62947,                0.53862,                0.96976,                0.80129,                0.92799,                0.90847,                 0.7994,                0.57624,                0.51503,                0.92384,               0.004654,               0.004654,               0.004654
                     56,                 0.6308,                0.54508,                0.96912,                0.82522,                0.93475,                 0.9275,                0.82154,                0.57083,                 0.5016,                0.91976,               0.004555,               0.004555,               0.004555
                     57,                0.62326,                0.53784,                0.96591,                 0.8004,                0.90864,                0.90092,                0.79386,                0.56231,                0.55172,                0.91351,               0.004456,               0.004456,               0.004456
                     58,                0.61969,                0.52753,                0.96534,                0.79831,                0.91192,                0.90405,                0.79786,                0.57656,                0.54369,                 0.9155,               0.004357,               0.004357,               0.004357
                     59,                0.61443,                0.52322,                0.96683,                0.77633,                0.87998,                0.86325,                0.75704,                0.58188,                0.59488,                0.92453,               0.004258,               0.004258,               0.004258
                     60,                0.62144,                0.52095,                0.96558,                0.85356,                0.88197,                0.91456,                0.81112,                0.55771,                0.51223,                0.90684,               0.004159,               0.004159,               0.004159
                     61,                0.61428,                 0.5175,                0.96629,                0.79966,                0.91268,                0.90725,                0.80366,                0.56481,                0.54115,                0.91346,                0.00406,                0.00406,                0.00406
                     62,                0.61135,                0.50921,                0.96166,                0.80136,                0.89924,                0.89251,                0.78861,                0.57017,                0.54726,                0.91399,               0.003961,               0.003961,               0.003961
                     63,                0.60651,                0.50636,                0.95732,                 0.8106,                0.91369,                0.90505,                0.79891,                0.56513,                0.54081,                0.91381,               0.003862,               0.003862,               0.003862
                     64,                0.60999,                0.49994,                0.95818,                0.78649,                0.91791,                0.87939,                0.77632,                0.55807,                 0.5716,                0.90634,               0.003763,               0.003763,               0.003763
                     65,                0.59731,                0.49722,                0.95194,                0.85697,                0.89099,                0.92888,                0.82324,                0.55824,                0.50263,                0.90481,               0.003664,               0.003664,               0.003664
                     66,                0.59359,                0.49195,                0.95207,                0.82249,                0.93422,                0.91936,                 0.8177,                0.55103,                0.49911,                0.90302,               0.003565,               0.003565,               0.003565
                     67,                0.59156,                0.48982,                0.95273,                0.80181,                0.90455,                0.89142,                0.78793,                0.55532,                0.54373,                0.90453,               0.003466,               0.003466,               0.003466
                     68,                0.58715,                 0.4775,                0.94892,                0.80268,                0.92391,                0.90941,                0.80818,                0.55236,                0.50723,                0.90418,               0.003367,               0.003367,               0.003367
                     69,                0.58412,                0.47576,                0.95252,                0.84339,                0.92435,                0.92955,                0.82737,                0.55418,                0.47874,                0.90643,               0.003268,               0.003268,               0.003268
                     70,                0.58613,                0.48006,                0.94988,                0.83293,                0.89407,                0.90344,                0.80367,                0.55224,                0.53108,                0.90496,               0.003169,               0.003169,               0.003169
